#lon lat ve vn vu se sn su name
176.20048 -39.91679 -7.38725 -9.61679 -1.66260 0.85823 0.41046 0.68061 pnui
176.69655 -39.44420 -0.61792 -14.13934 -2.62413 0.88735 0.29710 0.35989 mcnl
176.42279 -39.42402 -1.09697 -11.78636 -1.99699 0.22837 0.66997 0.52349 kawk
175.81083 -38.61102 -0.03724 -2.47540 -0.59005 0.16336 0.14317 0.60636 tgtk
175.77015 -38.86337 -1.71836 -3.36108 0.64850 0.13543 0.15051 0.64870 tgra
175.71191 -38.67810 -0.57305 -2.01234 -0.28599 0.08961 0.13127 0.50501 tghr
176.19418 -38.17662 1.73736 -2.66192 -0.36155 0.41756 0.36515 0.67806 rgut
176.50610 -38.23379 0.48416 -7.03797 -5.69575 0.27177 0.33342 0.71765 rgta
176.52120 -38.05728 1.21836 -5.08299 -1.85843 0.16469 0.59536 0.51797 rgre
176.46711 -38.13832 1.85514 -8.97990 -10.46391 0.35294 0.42029 0.66428 rgmk
176.38571 -38.00329 1.28813 -3.70148 -1.75828 0.30533 0.38161 0.56795 rgli
176.24408 -38.02008 1.25807 -2.34657 -0.59947 0.23808 0.31895 0.62146 rgka
176.28798 -38.38579 3.12993 -5.39730 -0.49150 0.29896 0.67974 0.74834 rghr
176.34303 -38.56204 2.00372 -7.78752 -2.20725 0.16218 0.18981 0.65559 rgar
175.17040 -40.81650 -16.66214 -4.49613 -1.33959 2.77028 0.84865 0.70952 otak
170.19014 -43.86249 -24.80350 -11.91213 2.46990 0.55681 0.41830 0.29523 bnet
115.34698 -29.04656 -0.32860 -0.01208 -0.25474 0.10426 0.10158 0.56483 yar2
148.98000 -35.39920 0.19460 -0.04923 -0.90583 0.07652 0.07301 0.42604 tid2
151.15038 -33.78087 -0.10894 -0.08852 -0.78154 52.51236 388.62771 0.69689 sydn
116.19272 -31.04873 -0.25030 -0.02643 -0.88020 0.08441 0.07528 0.23600 nnor
144.97534 -37.82941 0.59460 0.24187 -1.22045 0.10459 0.13358 0.30930 mobs
164.28734 -20.55869 -0.01919 -0.02147 -0.82038 0.25119 0.21834 0.26739 kouc
138.64735 -34.72900 0.14045 0.16175 -1.09403 0.18452 0.16640 0.57749 ade1
174.62764 -41.27805 -18.49842 -3.46540 -0.18740 1.09406 0.91121 0.62543 trwh
182.07105 -29.24467 -14.34096 -14.83221 -6.10712 0.43823 0.37387 0.53965 raul
169.92154 -43.66059 -17.43359 -6.83611 3.29611 0.39829 0.24907 0.44611 pilk
170.35053 -43.33641 -11.11299 -2.39575 2.99929 0.19299 0.33505 0.41697 mtpr
176.22338 -40.46864 -21.36429 -11.57927 -4.39058 0.81839 0.48187 0.47727 mnhr
170.10551 -43.77733 -22.18745 -10.44563 4.61549 0.37636 0.21304 0.20119 horn
177.40987 -38.93930 0.01642 -18.21812 -1.72987 0.36082 0.37428 0.46081 frtn
131.13274 -12.84370 0.02129 0.36498 -0.69640 0.12967 0.12358 0.43140 darw
176.13641 -38.61758 0.61495 -5.89269 -4.75373 0.59557 0.95243 1.00605 arta
176.35229 -38.25192 1.98248 -6.23986 -4.11782 0.67290 0.37058 1.07038 rghl
175.96291 -40.06158 -7.79441 -8.44074 -1.10274 0.50154 0.21340 0.45441 takp
175.18193 -39.80477 -2.81037 -2.28187 -0.32264 0.27744 0.49244 0.56085 pkno
175.79069 -39.91829 -4.46717 -5.76160 1.81018 0.45169 0.31225 0.82647 ohin
176.20004 -40.11332 -9.93415 -8.55757 -1.30961 0.65121 0.32231 0.92085 nrsw
178.29122 -38.26821 1.90836 -19.52682 -2.18282 0.95460 0.14355 0.57430 anau
