x,z,y,dy_dx,dy_dz
256.0,-48.0,-12.91070818731365,0.0,-0.0
260.0,-48.0,-12.91070818731365,0.0,-0.0
264.0,-48.0,-12.91070818731365,0.0,-0.0
268.0,-48.0,-12.91070818731365,0.0,-0.0
272.0,-48.0,-12.91070818731365,0.0,-0.0
276.0,-48.0,-12.91070818731365,0.0,-0.0
280.0,-48.0,-12.91070818731365,0.0,-0.0
284.0,-48.0,-12.91070818731365,0.0,-0.0
288.0,-48.0,-12.91070818731365,0.0,-0.0
292.0,-48.0,-12.91070818731365,0.0,-0.0
296.0,-48.0,-12.91070818731365,0.0,-0.0
300.0,-48.0,-12.91070818731365,0.0,-0.0
304.0,-48.0,-12.91070818731365,0.0,-0.0
308.0,-48.0,-12.91070818731365,0.0,-0.0
312.0,-48.0,-12.91070818731365,0.0,-0.0
316.0,-48.0,-12.91070818731365,0.0,-0.0
320.0,-48.0,-12.91070818731365,0.0,-0.0
324.0,-48.0,-12.91070818731365,0.0,-0.0
328.0,-48.0,-12.91070818731365,0.0,-0.0
332.0,-48.0,-12.91070818731365,0.0,-0.0
336.0,-48.0,-12.91070818731365,0.0,-0.0
340.0,-48.0,-12.91070818731365,0.0,-0.0
344.0,-48.0,-12.91070818731365,0.0,-0.0
348.0,-48.0,-12.91070818731365,0.0,-0.0
352.0,-48.0,-12.91070818731365,0.0,-0.0
356.0,-48.0,-12.91070818731365,0.0,-0.0
360.0,-48.0,-12.91070818731365,0.0,-0.0
364.0,-48.0,-12.91070818731365,0.0,-0.0
368.0,-48.0,-12.91070818731365,0.0,-0.0
372.0,-48.0,-12.91070818731365,0.0,-0.0
376.0,-48.0,-12.91070818731365,0.0,-0.0
380.0,-48.0,-12.91070818731365,0.0,-0.0
-380.0,-44.0,-12.91070818731365,0.0,-0.0
-376.0,-44.0,-12.91070818731365,0.0,-0.0
-372.0,-44.0,-12.91070818731365,0.0,-0.0
-368.0,-44.0,-12.91070818731365,0.0,-0.0
-364.0,-44.0,-12.91070818731365,0.0,-0.0
-360.0,-44.0,-12.91070818731365,0.0,-0.0
-356.0,-44.0,-12.91070818731365,0.0,-0.0
-352.0,-44.0,-12.91070818731365,0.0,-0.0
-348.0,-44.0,-12.91070818731365,0.0,-0.0
-344.0,-44.0,-12.91070818731365,0.0,-0.0
-340.0,-44.0,-12.91070818731365,0.0,-0.0
-336.0,-44.0,-12.91070818731365,0.0,-0.0
-332.0,-44.0,-12.91070818731365,0.0,-0.0
-328.0,-44.0,-12.91070818731365,0.0,-0.0
-324.0,-44.0,-12.91070818731365,0.0,-0.0
-320.0,-44.0,-12.91070818731365,0.0,-0.0
-316.0,-44.0,-12.91070818731365,0.0,-0.0
-312.0,-44.0,-12.91070818731365,0.0,-0.0
-308.0,-44.0,-12.91070818731365,0.0,-0.0
-304.0,-44.0,-12.91070818731365,0.0,-0.0
-300.0,-44.0,-12.91070818731365,0.0,-0.0
-296.0,-44.0,-12.91070818731365,0.0,-0.0
-292.0,-44.0,-12.91070818731365,0.0,-0.0
-288.0,-44.0,-12.91070818731365,0.0,-0.0
-284.0,-44.0,-12.91070818731365,0.0,-0.0
-280.0,-44.0,-12.91070818731365,0.0,-0.0
-276.0,-44.0,-12.91070818731365,0.0,-0.0
-272.0,-44.0,-12.91070818731365,0.0,-0.0
-268.0,-44.0,-12.91070818731365,0.0,-0.0
-264.0,-44.0,-12.91070818731365,0.0,-0.0
-260.0,-44.0,-12.91070818731365,0.0,-0.0
-256.0,-44.0,-12.91070818731365,0.0,-0.0
-252.0,-44.0,-12.91070818731365,0.0,-0.0
-248.0,-44.0,-12.91070818731365,0.0,-0.0
-244.0,-44.0,-12.91070818731365,0.0,-0.0
-240.0,-44.0,-12.91070818731365,0.0,-0.0
-236.0,-44.0,-12.91070818731365,0.0,-0.0
-232.0,-44.0,-12.91070818731365,0.0,-0.0
-228.0,-44.0,-12.91070818731365,0.0,-0.0
-224.0,-44.0,-12.91070818731365,0.0,-0.0
-220.0,-44.0,-12.91070818731365,0.0,-0.0
-216.0,-44.0,-12.91070818731365,0.0,-0.0
-212.0,-44.0,-12.91070818731365,0.0,-0.0
-208.0,-44.0,-12.91070818731365,0.0,-0.0
-204.0,-44.0,-12.91070818731365,0.0,-0.0
-200.0,-44.0,-12.91070818731365,0.0,-0.0
-196.0,-44.0,-12.91070818731365,0.0,-0.0
-192.0,-44.0,-12.91070818731365,0.0,-0.0
-188.0,-44.0,-12.91070818731365,0.0,-0.0
-184.0,-44.0,-12.91070818731365,0.0,-0.0
-180.0,-44.0,-12.91070818731365,0.0,-0.0
-176.0,-44.0,-12.91070818731365,0.0,-0.0
-172.0,-44.0,-12.91070818731365,0.0,-0.0
-168.0,-44.0,-12.91070818731365,0.0,-0.0
-164.0,-44.0,-12.91070818731365,0.0,-0.0
